Date,Timestamp,Open,High,Low,Close,Volume
20040105,0:00:00,5.929,5.982,5.813,5.873,5.900000088
20040105,4:00:00,5.868,6.008,5.823,5.939,5.650000084
20040105,8:00:00,5.949,6.023,5.806,5.859,8.70000013
20040105,12:00:00,5.931,6.247,5.819,6.17,72.35000108
20040105,16:00:00,6.089,6.225,5.962,6.105,44.30000066
20040105,20:00:00,6.155,6.155,6.03,6.137,1.35000002
20040106,0:00:00,6.145,6.175,5.967,6.079,8.150000121
20040106,4:00:00,6.117,6.23,6.02,6.176,8.000000119
20040106,8:00:00,6.142,6.3,6.026,6.177,16.85000025
20040106,12:00:00,6.204,6.427,6.103,6.262,73.15000109
20040106,16:00:00,6.191,6.317,6.059,6.179,36.85000055
20040106,20:00:00,6.15,6.296,6.133,6.203,1.950000029
20040107,0:00:00,6.224,6.264,6.07,6.129,9.050000135
20040107,4:00:00,6.167,6.24,6.041,6.193,7.800000116
20040107,8:00:00,6.178,6.238,5.989,6.099,19.35000029
20040107,12:00:00,6.197,6.31,6.029,6.26,62.80000094
20040107,16:00:00,6.158,6.271,6.017,6.119,42.10000063
20040107,20:00:00,6.103,6.266,6.035,6.07,2.400000036
20040108,0:00:00,6.114,6.277,6.006,6.079,10.50000016
20040108,4:00:00,6.138,6.226,6.009,6.166,12.55000019
20040108,8:00:00,6.122,6.25,6.025,6.164,14.55000022
20040108,12:00:00,6.098,6.29,6.001,6.118,58.60000087
20040108,16:00:00,6.124,6.268,5.964,6.073,45.55000068
20040108,20:00:00,6.159,6.184,6.026,6.085,2.600000039
20040109,0:00:00,6.135,6.194,6.03,6.113,6.250000093
20040109,4:00:00,6.189,6.238,6.016,6.156,9.350000139
20040109,8:00:00,6.047,6.263,6.037,6.143,20.0500003
20040109,12:00:00,6.191,6.372,6.04,6.332,66.10000098
20040109,16:00:00,6.22,6.456,6.148,6.35,47.2500007
20040112,0:00:00,6.417,6.595,6.296,6.403,12.50000019
20040112,4:00:00,6.45,6.618,6.399,6.476,13.5000002
20040112,8:00:00,6.56,6.712,6.386,6.552,42.50000063
20040112,12:00:00,6.601,6.712,6.326,6.625,73.9500011
20040112,16:00:00,6.506,6.663,6.38,6.544,49.35000074
20040112,20:00:00,6.426,6.552,6.413,6.453,2.00000003
20040113,0:00:00,6.504,6.56,6.405,6.474,8.100000121
20040113,4:00:00,6.58,6.673,6.41,6.458,12.10000018
20040113,8:00:00,6.506,6.654,6.396,6.491,18.70000028
20040113,12:00:00,6.564,6.669,6.345,6.543,54.50000081
20040113,16:00:00,6.441,6.573,6.329,6.513,41.20000061
20040113,20:00:00,6.522,6.522,6.412,6.459,1.800000027
20040114,0:00:00,6.515,6.562,6.415,6.556,4.00000006
20040114,4:00:00,6.538,6.594,6.347,6.487,7.900000118
20040114,8:00:00,6.494,6.583,6.325,6.406,27.0000004
20040114,12:00:00,6.464,6.562,6.219,6.383,68.45000102
20040114,16:00:00,6.29,6.463,6.216,6.253,45.10000067
20040114,20:00:00,6.343,6.478,6.166,6.315,3.200000048
20040115,0:00:00,6.22,6.403,6.208,6.283,6.400000095
20040115,4:00:00,6.321,6.415,6.171,6.218,11.90000018
20040115,8:00:00,6.255,6.361,6.099,6.222,33.95000051
20040115,12:00:00,6.249,6.327,6.033,6.24,68.95000103
20040115,16:00:00,6.126,6.286,6.006,6.079,51.50000077
20040115,20:00:00,6.128,6.208,6.025,6.085,3.450000051
20040116,0:00:00,6.135,6.205,5.997,6.078,5.850000087
20040116,4:00:00,6.131,6.209,6.012,6.172,13.3000002
20040116,8:00:00,6.123,6.264,5.969,6.104,30.40000045
20040116,12:00:00,6.142,6.297,6.015,6.196,63.70000095
20040116,16:00:00,6.102,6.295,6.051,6.201,26.9500004
20040118,20:00:00,6.255,6.255,6.143,6.143,0.300000004
20040119,0:00:00,6.235,6.346,6.083,6.276,4.900000073
20040119,4:00:00,6.171,6.339,6.118,6.286,5.700000085
20040119,8:00:00,6.225,6.357,6.094,6.176,15.25000023
20040119,12:00:00,6.269,6.361,6.114,6.207,9.800000146
20040119,20:00:00,6.285,6.285,6.193,6.229,0.400000006
20040120,0:00:00,6.285,6.291,6.13,6.184,5.300000079
20040120,4:00:00,6.253,6.352,6.121,6.327,11.65000017
20040120,8:00:00,6.239,6.429,6.158,6.329,33.00000049
20040120,12:00:00,6.287,6.411,6.095,6.282,73.15000109
20040120,16:00:00,6.19,6.355,6.124,6.204,40.1000006
20040120,20:00:00,6.255,6.284,6.163,6.209,1.200000018
20040121,0:00:00,6.174,6.345,6.153,6.236,7.40000011
20040121,4:00:00,6.284,6.339,6.142,6.291,12.10000018
20040121,8:00:00,6.275,6.34,6.117,6.264,8.75000013
20040121,12:00:00,6.29,6.308,5.927,6.105,64.85000097
20040121,16:00:00,6.081,6.222,5.991,6.079,39.35000059
20040121,20:00:00,6.125,6.175,6.033,6.153,0.900000013
20040122,0:00:00,6.157,6.218,6.063,6.188,4.850000072
20040122,4:00:00,6.131,6.24,6.057,6.206,3.450000051
20040122,8:00:00,6.136,6.279,6.025,6.187,18.00000027
20040122,12:00:00,6.241,6.295,5.996,6.245,68.35000102
20040122,16:00:00,6.154,6.409,6.08,6.27,41.45000062
20040122,20:00:00,6.203,6.348,6.183,6.22,2.200000033
20040123,0:00:00,6.285,6.334,6.137,6.209,2.250000034
20040123,4:00:00,6.191,6.337,6.16,6.224,3.200000048
20040123,8:00:00,6.249,6.359,6.151,6.28,13.6500002
20040123,12:00:00,6.301,6.351,6.075,6.261,61.10000091
20040123,16:00:00,6.243,6.375,6.086,6.229,37.65000056
20040126,0:00:00,6.275,6.361,6.155,6.308,6.650000099
20040126,4:00:00,6.27,6.342,6.109,6.267,8.900000133
20040126,8:00:00,6.254,6.326,6.049,6.224,15.90000024
20040126,12:00:00,6.187,6.342,6.039,6.27,62.15000093
20040126,16:00:00,6.165,6.347,6.099,6.269,36.05000054
20040126,20:00:00,6.166,6.315,6.093,6.145,1.850000028
20040127,0:00:00,6.195,6.269,6.068,6.171,8.600000128
20040127,4:00:00,6.068,6.273,6.068,6.19,10.05000015
20040127,8:00:00,6.184,6.292,6.063,6.143,16.00000024
20040127,12:00:00,6.23,6.498,6.062,6.477,69.80000104
20040127,16:00:00,6.365,6.513,6.287,6.435,44.00000066
20040127,20:00:00,6.396,6.522,6.351,6.506,2.450000037
20040128,0:00:00,6.471,6.495,6.305,6.438,7.450000111
20040128,4:00:00,6.424,6.544,6.314,6.447,12.20000018
20040128,8:00:00,6.437,6.599,6.324,6.507,26.15000039
20040128,12:00:00,6.494,6.606,6.291,6.512,60.7000009
20040128,16:00:00,6.411,6.648,6.351,6.541,31.95000048
20040128,20:00:00,6.531,6.573,6.349,6.382,2.100000031
20040129,0:00:00,6.43,6.52,6.322,6.439,8.400000125
20040129,4:00:00,6.445,6.543,6.313,6.373,7.050000105
20040129,8:00:00,6.337,6.579,6.317,6.417,19.50000029
20040129,12:00:00,6.44,6.525,6.007,6.114,70.05000104
20040129,16:00:00,6.001,6.253,5.985,6.176,53.9500008
20040129,20:00:00,6.156,6.256,6.071,6.145,4.300000064
20040130,0:00:00,6.193,6.298,6.056,6.152,8.900000133
20040130,4:00:00,6.185,6.259,6.053,6.219,12.30000018
